site,zone,time_point,Day_count
1,A,T1,0
1,C,T1,0
2,A,T1,0
2,C,T1,0
3,A,T1,0
3,C,T1,0
4,A,T1,0
4,C,T1,0
1,A,T2,44
1,C,T2,44
2,A,T2,44
2,C,T2,44
3,A,T2,44
3,C,T2,44
4,A,T2,44
4,C,T2,44
1,A,T3,143
1,C,T3,143
2,A,T3,143
2,C,T3,143
3,A,T3,143
3,C,T3,143
4,A,T3,143
4,C,T3,143
1,A,T4,219
1,C,T4,219
2,A,T4,219
2,C,T4,219
3,A,T4,219
3,C,T4,219
4,A,T4,219
4,C,T4,219
1,A,T5,290
1,C,T5,290
2,A,T5,290
2,C,T5,290
3,A,T5,291
3,C,T5,291
4,A,T5,291
4,C,T5,291
