species,color_agg
BARE,grey
CYANOB,blue
AMPH,red
BEM,brown
BTA,brown
CCA,pink
CHAET,brown
Cldph,green
DICO,brown
ECTO,brown
GEM,green
GLPS,green
LOBO,brown
Padina,brown
POLY,red
RHIZO,brown
RODO,red
RPu,red
RSVG,brown
SYM,red
TURB,brown
Turf,brown
