"Image.ID","Image.name","Annotation.status","Points","Name","site","urchin_stat","zone","metacom_treatment","tile_number","complex_treatment","meta_treatment","time_point","file","site_treatment","site_code","metacom_site_code","BARE","ECCA","CYANOB","ACCI","AHNF","BEM","BTA","CAB","CAUG","CAUL","CCA","ChSpp","Cldph","CLRPA_spp","CLSed","CodErc","Ctax","cysto","Dictyota","Dty","ECKL","GEM","GFA","HORMOSIRA.","Jania","Limu","Lobophora","MGBC","NIZY","NTHA","Padina","Phyllo","PLOC","POLY","REM","Sargassum","Scyto","Turf","Ulva","UPIN"
"3983913","P1081665.jpg","Confirmed",100,"P1081665.jpg","Jawbone","Cull","Deep",7,86,"complex","complex",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081665.JPG","Cull_Deep","JCD","JCD_7",5.15463917525773,0,0,0,0,20.6185567010309,1.03092783505155,0,7.21649484536082,0,0,0,0,0,0,0,0,0,0,0,0,1.03092783505155,0,0,0,0,0,0,40.2061855670103,0,0,0,0,0,0,0,0,0,24.7422680412371,0
"3983920","P1081667.jpg","Confirmed",100,"P1081667.jpg","Jawbone","Cull","Deep",7,85,"complex","complex",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081667.JPG","Cull_Deep","JCD","JCD_7",6.18556701030928,0,0,0,0,25.7731958762887,3.09278350515464,0,9.27835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21649484536082,1.03092783505155,0,17.5257731958763,0,0,0,0,0,0,0,0,1.03092783505155,28.8659793814433,0
"3983927","P1081670.jpg","Confirmed",100,"P1081670.jpg","Jawbone","Cull","Deep",8,725,"simple","simple",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081670.JPG","Cull_Deep","JCD","JCD_8",5.20833333333333,1.04166666666667,0,0,0,9.375,14.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,1.04166666666667,56.25,0,0,0,0,0,0,0,0,0,2.08333333333333,4.16666666666667
"3983933","P1081673.jpg","Confirmed",100,"P1081673.jpg","Jawbone","Cull","Deep",8,724,"simple","simple",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081673.JPG","Cull_Deep","JCD","JCD_8",1.04166666666667,0,0,0,0,1.04166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33333333333333,1.04166666666667,0,0,88.5416666666667,0,0,0,0,0,0,0,0,0,0,0
"3983940","P1081676.jpg","Confirmed",100,"P1081676.jpg","Jawbone","Cull","Deep",2,700,"simple","mix",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081676.JPG","Cull_Deep","JCD","JCD_2",25,0,0,0,0,10.4166666666667,1.04166666666667,0,2.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16666666666667,0,0,44.7916666666667,0,0,0,0,1.04166666666667,0,0,0,0,11.4583333333333,0
"3983947","P1081677.jpg","Confirmed",100,"P1081677.jpg","Jawbone","Cull","Deep",2,577,"complex","mix",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081677.JPG","Cull_Deep","JCD","JCD_2",21.875,0,0,0,0,12.5,7.29166666666667,0,16.6666666666667,0,0,1.04166666666667,0,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0,38.5416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3983951","P1081680.jpg","Confirmed",100,"P1081680.jpg","Jawbone","Cull","Deep",10,820,"simple","mix",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081680.JPG","Cull_Deep","JCD","JCD_10",2,0,0,0,0,0,8,0,10,0,0,0,41,0,0,0,0,0,3,0,0,0,0,0,25,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0
"3983954","P1081682.jpg","Confirmed",100,"P1081682.jpg","Jawbone","Cull","Deep",10,649,"complex","mix",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081682.JPG","Cull_Deep","JCD","JCD_10",17.2413793103448,0,0,0,0,10.3448275862069,33.3333333333333,0,12.6436781609195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04597701149425,0,0,0,0,8.04597701149425,0,0,0,2.29885057471264,8.04597701149425,0
"3983961","P1081685.jpg","Confirmed",100,"P1081685.jpg","Jawbone","Cull","Deep",11,76,"complex","complex",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081685.JPG","Cull_Deep","JCD","JCD_11",3,0,0,0,0,2,69,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,7,0
"3983969","P1081688.jpg","Confirmed",100,"P1081688.jpg","Jawbone","Cull","Deep",11,65,"complex","complex",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Cull_deep/P1081688.JPG","Cull_Deep","JCD","JCD_11",3.37078651685393,0,0,0,0,1.12359550561798,50.561797752809,0,0,0,0,0,1.12359550561798,0,0,0,0,0,4.49438202247191,0,0,0,0,0,1.12359550561798,0,0,0,21.3483146067416,0,0,0,0,1.12359550561798,3.37078651685393,1.12359550561798,0,11.2359550561798,0,0
